PLL_OUTPUT MHz, HSE, PLLM, PLLN, PLLP, DMA_BEATS, actual color clock MHz, error
214.86, 16000000, 14, 376, 2, 16, 3.357143, -0.062131
188.00, 16000000, 16, 376, 2, 14, 3.357143, -0.062131
188.00, 16000000, 18, 423, 2, 14, 3.357143, -0.062131
161.14, 16000000, 7, 141, 2, 12, 3.357143, -0.062131
161.14, 16000000, 14, 282, 2, 12, 3.357143, -0.062131
188.00, 16000000, 14, 329, 2, 14, 3.357143, -0.062131
174.59, 16000000, 17, 371, 2, 13, 3.357466, -0.062041
201.45, 16000000, 11, 277, 2, 15, 3.357576, -0.062010
147.73, 16000000, 15, 277, 2, 11, 3.357576, -0.062010
147.76, 16000000, 17, 314, 2, 11, 3.358289, -0.061811
214.93, 16000000, 15, 403, 2, 16, 3.358333, -0.061799
201.50, 16000000, 16, 403, 2, 15, 3.358333, -0.061799
161.20, 16000000, 20, 403, 2, 12, 3.358333, -0.061799
147.79, 16000000, 19, 351, 2, 11, 3.358852, -0.061654
161.23, 16000000, 13, 262, 2, 12, 3.358974, -0.061620
174.67, 16000000, 6, 131, 2, 13, 3.358974, -0.061620
174.67, 16000000, 12, 262, 2, 13, 3.358974, -0.061620
174.67, 16000000, 18, 393, 2, 13, 3.358974, -0.061620
147.81, 16000000, 21, 388, 2, 11, 3.359307, -0.061527
215.00, 16000000, 8, 215, 2, 16, 3.359375, -0.061508
215.00, 16000000, 16, 430, 2, 16, 3.359375, -0.061508
161.26, 16000000, 19, 383, 2, 12, 3.359649, -0.061431
147.83, 16000000, 23, 425, 2, 11, 3.359684, -0.061422
201.60, 16000000, 5, 126, 2, 15, 3.360000, -0.061333
201.60, 16000000, 10, 252, 2, 15, 3.360000, -0.061333
201.60, 16000000, 15, 378, 2, 15, 3.360000, -0.061333
174.74, 16000000, 19, 415, 2, 13, 3.360324, -0.061243
174.77, 16000000, 13, 284, 2, 13, 3.360947, -0.061069
161.33, 16000000, 6, 121, 2, 12, 3.361111, -0.061023
161.33, 16000000, 12, 242, 2, 12, 3.361111, -0.061023
215.11, 16000000, 9, 242, 2, 16, 3.361111, -0.061023
